 4911 scp	Changed stat   /private/var/root/out.exec	
 4890 locationd	Renamed        /private/var/root/Library/Caches/locationd/.dat.nosync131a.PjjQyF	/private/var/root/Library/Caches/locationd/clients.plist 
 4890 locationd	Chowned        /private/var/root/Library/Caches/locationd/clients.plist	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
 4921 xpcproxy	Created        /private/var/tmp/cy-6LTffK.dylib	
 4921 xpcproxy	Deleted        /private/var/tmp/cy-6LTffK.dylib	
 4921 xpcproxy	Modified       /private/var/tmp/cy-6LTffK.dylib	
 4921 xpcproxy	Created        /private/var/tmp/cy-yq8cMF.dylib	
 4921 xpcproxy	Deleted        /private/var/tmp/cy-yq8cMF.dylib	
 4921 xpcproxy	Modified       /private/var/tmp/cy-yq8cMF.dylib	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
 4921 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.com.apple.siri.embeddedspeech-2018-11-01-105746.ips	
 4921 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.com.apple.siri.embeddedspeech-2018-11-01-105746.ips	
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.com.apple.siri.embeddedspeech-2018-11-01-105746.ips	
 4921 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.com.apple.siri.embeddedspeech-2018-11-01-105746.ips	/private/var/mobile/Library/Logs/CrashReporter/com.apple.siri.embeddedspeech-2018-11-01-105746.ips 
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 4771 	Modified       /private/var/mobile/Media/iTunes_Control/iTunes/MediaLibrary.sqlitedb-shm	
 4921 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.medialibraryd-2018-11-01-105746.558.ips	
 4921 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.medialibraryd-2018-11-01-105746.558.ips	
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.medialibraryd-2018-11-01-105746.558.ips	
 4921 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.medialibraryd-2018-11-01-105746.558.ips	/private/var/mobile/Library/Logs/CrashReporter/medialibraryd-2018-11-01-105746.558.ips 
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 4924 xpcproxy	Created        /private/var/tmp/cy-INr7l7.dylib	
 4924 xpcproxy	Deleted        /private/var/tmp/cy-INr7l7.dylib	
 4924 xpcproxy	Modified       /private/var/tmp/cy-INr7l7.dylib	
 4924 xpcproxy	Created        /private/var/tmp/cy-VJQm1z.dylib	
 4924 xpcproxy	Deleted        /private/var/tmp/cy-VJQm1z.dylib	
 4924 xpcproxy	Modified       /private/var/tmp/cy-VJQm1z.dylib	
  482 cfprefsd	Created        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Chowned        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Modified       /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	
  482 cfprefsd	Renamed        /private/var/root/Library/Preferences/com.apple.xpc.activity2.plist.e07mUUn	/private/var/root/Library/Preferences/com.apple.xpc.activity2.plist 
 4927 xpcproxy	Created        /private/var/tmp/cy-lXQVmI.dylib	
 4927 xpcproxy	Deleted        /private/var/tmp/cy-lXQVmI.dylib	
 4927 xpcproxy	Modified       /private/var/tmp/cy-lXQVmI.dylib	
 4927 xpcproxy	Created        /private/var/tmp/cy-lh0R0m.dylib	
 4927 xpcproxy	Deleted        /private/var/tmp/cy-lh0R0m.dylib	
 4927 xpcproxy	Modified       /private/var/tmp/cy-lh0R0m.dylib	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.niePMOm	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.niePMOm	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.niePMOm	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.niePMOm	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.assistant.plist.xIht9lQ	/private/var/mobile/Library/Preferences/com.apple.assistant.plist 
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist.bLsJsVG	/private/var/mobile/Library/Preferences/com.apple.medialibraryd.plist 
 4930 xpcproxy	Created        /private/var/tmp/cy-Npqddz.dylib	
 4930 xpcproxy	Deleted        /private/var/tmp/cy-Npqddz.dylib	
 4930 xpcproxy	Modified       /private/var/tmp/cy-Npqddz.dylib	
 4930 xpcproxy	Created        /private/var/tmp/cy-94OXws.dylib	
 4930 xpcproxy	Deleted        /private/var/tmp/cy-94OXws.dylib	
 4930 xpcproxy	Modified       /private/var/tmp/cy-94OXws.dylib	
 4930 xpcproxy	Changed stat   /private/var/mobile/Library/MediaStream/albumshare/Daemon.sqlite-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4890 locationd	Changed stat   /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-shm	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db-wal	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/lockCache_encryptedA.db	
 4921 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.ips	
 4921 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.ips	
 4933 xpcproxy	Created        /private/var/tmp/cy-3h7Bbz.dylib	
 4933 xpcproxy	Deleted        /private/var/tmp/cy-3h7Bbz.dylib	
 4933 xpcproxy	Modified       /private/var/tmp/cy-3h7Bbz.dylib	
 4933 xpcproxy	Created        /private/var/tmp/cy-WcI1zl.dylib	
 4933 xpcproxy	Deleted        /private/var/tmp/cy-WcI1zl.dylib	
 4933 xpcproxy	Modified       /private/var/tmp/cy-WcI1zl.dylib	
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.ips	
 4921 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.ips	/private/var/mobile/Library/Logs/CrashReporter/wcd-2018-11-01-105749.ips 
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 4933 wcd	Created        /private/var/tmp/cy-lvRFAK.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-lvRFAK.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-lvRFAK.dylib	
 4933 wcd	Created        /private/var/tmp/cy-eLeDke.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-eLeDke.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-eLeDke.dylib	
 4933 wcd	Created        /private/var/tmp/cy-lyjO7W.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-lyjO7W.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-lyjO7W.dylib	
 4933 wcd	Created        /private/var/tmp/cy-jP0ZCm.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-jP0ZCm.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-jP0ZCm.dylib	
 4933 wcd	Created        /private/var/tmp/cy-YqWDaC.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-YqWDaC.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-YqWDaC.dylib	
 4933 wcd	Created        /private/var/tmp/cy-AhwyG3.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-AhwyG3.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-AhwyG3.dylib	
 4933 wcd	Created        /private/var/tmp/cy-iXMUaX.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-iXMUaX.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-iXMUaX.dylib	
 4933 wcd	Created        /private/var/tmp/cy-y11vJa.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-y11vJa.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-y11vJa.dylib	
 4933 wcd	Created        /private/var/tmp/cy-g0VcBH.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-g0VcBH.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-g0VcBH.dylib	
 4933 wcd	Created        /private/var/tmp/cy-27wHny.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-27wHny.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-27wHny.dylib	
 4933 wcd	Created        /private/var/tmp/cy-U1TMWn.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-U1TMWn.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-U1TMWn.dylib	
 4933 wcd	Created        /private/var/tmp/cy-N65Rbt.dylib	
 4933 wcd	Deleted        /private/var/tmp/cy-N65Rbt.dylib	
 4933 wcd	Modified       /private/var/tmp/cy-N65Rbt.dylib	
 4921 ReportCrash	Created        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.793.ips	
 4921 ReportCrash	Changed xattr  /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.793.ips	
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.793.ips	
 4921 ReportCrash	Renamed        /private/var/mobile/Library/Logs/CrashReporter/.wcd-2018-11-01-105749.793.ips	/private/var/mobile/Library/Logs/CrashReporter/wcd-2018-11-01-105749.793.ips 
 4921 ReportCrash	Modified       /private/var/mobile/Library/Logs/AppleSupport/general.log	
 4890 locationd	Created        /private/var/root/Library/Caches/locationd/.dat.nosync131a.zruJuU	
 4890 locationd	Modified       /private/var/root/Library/Caches/locationd/.dat.nosync131a.zruJuU	
 4890 locationd	Renamed        /private/var/root/Library/Caches/locationd/.dat.nosync131a.zruJuU	/private/var/root/Library/Caches/locationd/userinfo.plist 
 4890 locationd	Chowned        /private/var/root/Library/Caches/locationd/userinfo.plist	
 4936 xpcproxy	Created        /private/var/tmp/cy-qAhxYn.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-qAhxYn.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-qAhxYn.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-MnVY6u.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-MnVY6u.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-MnVY6u.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-pNSNql.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-pNSNql.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-pNSNql.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-OFAFyc.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-OFAFyc.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-OFAFyc.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-iiJ5bl.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-iiJ5bl.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-iiJ5bl.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-do7cOv.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-do7cOv.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-do7cOv.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-MFVxpy.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-MFVxpy.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-MFVxpy.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-f05C3m.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-f05C3m.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-f05C3m.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-BYhyMD.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-BYhyMD.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-BYhyMD.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-Gzz6io.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-Gzz6io.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-Gzz6io.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-iDXChq.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-iDXChq.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-iDXChq.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-TvRo37.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-TvRo37.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-TvRo37.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-HHkk0D.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-HHkk0D.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-HHkk0D.dylib	
 4936 xpcproxy	Created        /private/var/tmp/cy-C0ZRQB.dylib	
 4936 xpcproxy	Deleted        /private/var/tmp/cy-C0ZRQB.dylib	
 4936 xpcproxy	Modified       /private/var/tmp/cy-C0ZRQB.dylib	
 4812 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjBBEB6C9FB	
 4812 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjBBEB6C9FB	
 4812 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjBBEB6C9FB	
 4812 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
 4812 itunesstored	Created        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjA0D9F69BA	
 4812 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjA0D9F69BA	
 4812 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-mjA0D9F69BA	
 4812 itunesstored	Modified       /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
 4812 itunesstored	Deleted        /private/var/mobile/Media/Downloads/downloads.28.sqlitedb-journal	
  412 configd	Created        /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4-	
  412 configd	Renamed        /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4-	/private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4 
  412 configd	Modified       /private/var/db/dhcpclient/leases/en0-1,4c:57:ca:b2:7c:d4	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Created        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.P0Rf6n9	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.P0Rf6n9	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.P0Rf6n9	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Chowned        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Modified       /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	
  482 cfprefsd	Renamed        /private/var/mobile/Library/Preferences/com.apple.coreduetd.plist.QZSoevl	/private/var/mobile/Library/Preferences/com.apple.coreduetd.plist 
 4860 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.ogz2AWJo	
 4860 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.ogz2AWJo	
 4860 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.ogz2AWJo	
 4860 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.ogz2AWJo	
